provider_admin1_name,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end,text
Andaman & Nicobar Islands,0.0142,3.6708,38.6353,10.1618,0.4575,2019-01-01,2021-12-31,"In Andaman & Nicobar Islands, 3.67% of population lives in poverty with an MPI score of 0.0142"
Andhra Pradesh,0.2356,49.8836,47.2247,18.6133,21.5491,2005-01-01,2006-12-31,"In Andhra Pradesh, 49.88% of population lives in poverty with an MPI score of 0.2356"
Andhra Pradesh,0.0631,15.4135,40.9613,19.2037,3.1922,2015-01-01,2016-12-31,"In Andhra Pradesh, 15.41% of population lives in poverty with an MPI score of 0.0631"
Andhra Pradesh,0.0278,7.1138,39.1028,16.0771,0.9091,2019-01-01,2021-12-31,"In Andhra Pradesh, 7.11% of population lives in poverty with an MPI score of 0.0278"
Arunachal Pradesh,0.3128,59.9419,52.192,15.6431,32.0036,2005-01-01,2006-12-31,"In Arunachal Pradesh, 59.94% of population lives in poverty with an MPI score of 0.3128"
Arunachal Pradesh,0.1076,24.3453,44.1993,20.3356,7.5592,2015-01-01,2016-12-31,"In Arunachal Pradesh, 24.35% of population lives in poverty with an MPI score of 0.1076"
Arunachal Pradesh,0.0541,13.2061,40.9441,18.4609,2.7448,2019-01-01,2021-12-31,"In Arunachal Pradesh, 13.21% of population lives in poverty with an MPI score of 0.0541"
Assam,0.3171,61.6816,51.407,17.4676,32.4914,2005-01-01,2006-12-31,"In Assam, 61.68% of population lives in poverty with an MPI score of 0.3171"
Assam,0.1615,36.184,44.6449,20.3578,12.1818,2015-01-01,2016-12-31,"In Assam, 36.18% of population lives in poverty with an MPI score of 0.1615"
Assam,0.0899,21.4105,41.9974,21.6924,5.4333,2019-01-01,2021-12-31,"In Assam, 21.41% of population lives in poverty with an MPI score of 0.0899"
Bihar,0.4484,77.3747,57.9579,11.4109,50.7506,2005-01-01,2006-12-31,"In Bihar, 77.37% of population lives in poverty with an MPI score of 0.4484"
Bihar,0.2475,52.4125,47.2213,19.2104,22.3667,2015-01-01,2016-12-31,"In Bihar, 52.41% of population lives in poverty with an MPI score of 0.2475"
Bihar,0.1544,34.6609,44.5458,19.9787,13.1912,2019-01-01,2021-12-31,"In Bihar, 34.66% of population lives in poverty with an MPI score of 0.1544"
Chandigarh,0.0178,3.9426,45.1799,6.94,1.183,2019-01-01,2021-12-31,"In Chandigarh, 3.94% of population lives in poverty with an MPI score of 0.0178"
Chhattisgarh,0.3552,69.9447,50.7899,13.2869,34.9563,2005-01-01,2006-12-31,"In Chhattisgarh, 69.94% of population lives in poverty with an MPI score of 0.3552"
Chhattisgarh,0.1524,36.7632,41.4573,19.8436,9.022,2015-01-01,2016-12-31,"In Chhattisgarh, 36.76% of population lives in poverty with an MPI score of 0.1524"
Chhattisgarh,0.0732,17.8848,40.9144,24.0007,3.7308,2019-01-01,2021-12-31,"In Chhattisgarh, 17.88% of population lives in poverty with an MPI score of 0.0732"
Dadra & Nagar Haveli and Daman & Diu,0.0559,14.2685,39.173,19.3786,2.412,2019-01-01,2021-12-31,"In Dadra & Nagar Haveli and Daman & Diu, 14.27% of population lives in poverty with an MPI score of 0.0559"
Delhi,0.0571,12.6317,45.1939,14.4465,4.1882,2005-01-01,2006-12-31,"In Delhi, 12.63% of population lives in poverty with an MPI score of 0.0571"
Delhi,0.0167,3.9817,42.0583,11.8731,0.9001,2015-01-01,2016-12-31,"In Delhi, 3.98% of population lives in poverty with an MPI score of 0.0167"
Delhi,0.0134,3.3543,39.9122,7.1893,0.489,2019-01-01,2021-12-31,"In Delhi, 3.35% of population lives in poverty with an MPI score of 0.0134"
Goa,0.0875,20.5985,42.4944,17.8405,4.9981,2005-01-01,2006-12-31,"In Goa, 20.6% of population lives in poverty with an MPI score of 0.0875"
Goa,0.0203,5.4594,37.1865,9.3327,0.4245,2015-01-01,2016-12-31,"In Goa, 5.46% of population lives in poverty with an MPI score of 0.0203"
Goa,0.0053,1.3938,38.2264,6.3891,0.1361,2019-01-01,2021-12-31,"In Goa, 1.39% of population lives in poverty with an MPI score of 0.0053"
Gujarat,0.1851,38.2998,48.3205,18.4434,16.4761,2005-01-01,2006-12-31,"In Gujarat, 38.3% of population lives in poverty with an MPI score of 0.1851"
Gujarat,0.0907,21.4871,42.2344,18.2591,5.4413,2015-01-01,2016-12-31,"In Gujarat, 21.49% of population lives in poverty with an MPI score of 0.0907"
Gujarat,0.059,14.4022,40.9834,17.7388,3.0165,2019-01-01,2021-12-31,"In Gujarat, 14.4% of population lives in poverty with an MPI score of 0.059"
Haryana,0.1863,39.0433,47.707,20.9544,16.6099,2005-01-01,2006-12-31,"In Haryana, 39.04% of population lives in poverty with an MPI score of 0.1863"
Haryana,0.0452,10.7034,42.2607,19.065,2.5923,2015-01-01,2016-12-31,"In Haryana, 10.7% of population lives in poverty with an MPI score of 0.0452"
Haryana,0.0298,7.1746,41.5452,17.9088,1.5933,2019-01-01,2021-12-31,"In Haryana, 7.17% of population lives in poverty with an MPI score of 0.0298"
Himachal Pradesh,0.1287,30.9322,41.5952,27.4674,6.2354,2005-01-01,2006-12-31,"In Himachal Pradesh, 30.93% of population lives in poverty with an MPI score of 0.1287"
Himachal Pradesh,0.0304,8.1221,37.3896,21.1457,0.5614,2015-01-01,2016-12-31,"In Himachal Pradesh, 8.12% of population lives in poverty with an MPI score of 0.0304"
Himachal Pradesh,0.0204,5.3103,38.3324,17.4194,0.6345,2019-01-01,2021-12-31,"In Himachal Pradesh, 5.31% of population lives in poverty with an MPI score of 0.0204"
Jammu & Kashmir,0.1933,41.7069,46.3355,20.586,15.4783,2005-01-01,2006-12-31,"In Jammu & Kashmir, 41.71% of population lives in poverty with an MPI score of 0.1933"
Jammu & Kashmir,0.0635,15.2273,41.7246,17.4129,3.3359,2015-01-01,2016-12-31,"In Jammu & Kashmir, 15.23% of population lives in poverty with an MPI score of 0.0635"
Jammu & Kashmir,0.0249,6.2595,39.7527,11.1951,1.0051,2019-01-01,2021-12-31,"In Jammu & Kashmir, 6.26% of population lives in poverty with an MPI score of 0.0249"
Jharkhand,0.4291,74.8587,57.3195,10.8042,50.1225,2005-01-01,2006-12-31,"In Jharkhand, 74.86% of population lives in poverty with an MPI score of 0.4291"
Jharkhand,0.208,46.5002,44.7287,20.4294,15.4296,2015-01-01,2016-12-31,"In Jharkhand, 46.5% of population lives in poverty with an MPI score of 0.208"
Jharkhand,0.1318,30.603,43.0699,22.5427,9.1473,2019-01-01,2021-12-31,"In Jharkhand, 30.6% of population lives in poverty with an MPI score of 0.1318"
Karnataka,0.2278,48.6952,46.7901,19.9324,18.905,2005-01-01,2006-12-31,"In Karnataka, 48.7% of population lives in poverty with an MPI score of 0.2278"
Karnataka,0.0669,16.8236,39.7623,18.2573,3.1592,2015-01-01,2016-12-31,"In Karnataka, 16.82% of population lives in poverty with an MPI score of 0.0669"
Karnataka,0.0333,8.4979,39.2263,17.9722,1.2819,2019-01-01,2021-12-31,"In Karnataka, 8.5% of population lives in poverty with an MPI score of 0.0333"
Kerala,0.0528,13.3014,39.7314,24.1508,2.0231,2005-01-01,2006-12-31,"In Kerala, 13.3% of population lives in poverty with an MPI score of 0.0528"
